stop_id,stop_code,Stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
7083,7083,Hammer Ln & Holman Rd Fs Wb,,38.021311,-121.272828,,,,,,0
7163,7163,Hammer Ln & Meadow Av Fs Eb,,38.02126,-121.34541,,,,,,0
3307,3307,Bianchi Rd & Clowes St Ns/Eb,,37.997213,-121.290679,,,,,,0
3000,3000,Miner Ave & Airport Way Fs Wb,,37.958356,-121.275012,,,,,,0
3001,3001,Miner Ave & Airport Way Ns/Eb,,37.958167,-121.275391,,,,,,0
7006,7006,Downtown Transit Center Dep A,,37.955008,-121.285248,,,,,,0
3003,3003,Fremont St & Center St Ns/Wb,,37.957592,-121.292211,,,,,,0
3004,3004,Fremont St & Madison St Ns/Wb,,37.957093,-121.295451,,,,,,0
3005,3005,Madison St & Flora St Ns/Nb,,37.95992,-121.29576,,,,,,0
3012,3012,Pacific Av & Bianchi Rd Ns/Nb,,37.9877,-121.3111,,,,,,0
3013,3013,Pacific Av & March Ln Fs/Nb,,37.991965,-121.312774,,,,,,0
3014,3014,Pacific Av & Weberstown Ent Mb/Nb,,37.994009,-121.313638,,,,,,0
3015,3015,Pacific Av & March Fs/Sb,,37.99086,-121.312694,,,,,,0
3016,3016,Pacific Av & Bianchi Rd Fs/Sb,,37.98744,-121.31135,,,,,,0
3022,3022,Madison St & Flora St Fs/Sb,,37.95979,-121.29592,,,,,,0
3023,3023,Fremont St & Commerce St Fs/Eb,,37.957187,-121.294014,,,,,,0
3024,3024,San Joaquin St & Lafayette St Fs/Nb,,37.95043,-121.28635,,,,,,0
3026,3026,San Joaquin St & Main St Fs/Nb,,37.953302,-121.287151,,,,,,0
3027,3027,California St & Fremont St Ns/Nb,,37.958453,-121.285789,,,,,,0
3028,3028,California St & Oak St Ns/Nb,,37.959455,-121.286065,,,,,,0
3029,3029,California St & Flora St Fs/Nb,,37.96176,-121.28667,,,,,,0
3030,3030,California St & Magnolia St Fs/Nb,,37.96484,-121.287556,,,,,,0
3032,3032,California St & Wyandotte St Fs/Nb,,37.973006,-121.289902,,,,,,0
3033,3033,California St & Hampton Nb,,37.976046,-121.29117,,,,,,0
3034,3034,California St & Sonoma Av Fs/Nb,,37.980959,-121.293167,,,,,,0
3035,3035,West Lane & Enterprise St Ns/Nb,,37.990113,-121.285936,,,,,,0
3037,3037,West Lane & March Ln Fs/Nb,,38.002591,-121.290742,,,,,,0
3038,3038,West Lane & Atchenson St Fs/Nb,,38.006338,-121.292235,,,,,,0
3039,3039,West Lane & Swain Rd Fs/Nb,,38.011454,-121.294111,,,,,,0
3040,3040,Tam O Shanter Dr & Hammertown Fs/Sb,,38.015402,-121.299133,,,,,,0
3041,3041,Tam O Shanter Dr @ Comcast Cable Sb,,38.012914,-121.297713,,,,,,0
3042,3042,West Lane & Swain Rd Fs Fs/Sb,,38.010199,-121.294128,,,,,,0
3043,3043,West Lane & Access St Fs/Sb,,38.005704,-121.292319,,,,,,0
3045,3045,West Lane  & Bianchi Rd Fs/Sb,,37.996729,-121.28874,,,,,,0
3046,3046,West Lane & Enterprise St Fs/Sb,,37.989999,-121.286196,,,,,,0
3047,3047,California St & Sonoma Ns/Sb,,37.98092,-121.293374,,,,,,0
3049,3049,California St & Hampton St Fs/Sb,,37.975149,-121.291002,,,,,,0
3050,3050,California St & Wyandotte St Fs/Sb,,37.972661,-121.289985,,,,,,0
